Entity Type	Pos\Neg	Test Input	Score	Count	Types Found	Rules Matched	Annotations Found
Date	POS	DEC 25	TP	1	[Date]	[MY-01]	DEC 25 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Mon Dec 01 00:00:00 EST 2025, isEntity=true}),
Date	POS	DECEMBER 30 90	TP+DUPE	2	[Date]	[MDY-09, MY-03]	DECEMBER 30 90 (Date 0 14 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DECEMBER 30 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DECEMBER 30 1990 	TP+DUPE	2	[Date]	[MDY-10, MY-03]	DECEMBER 30 1990 (Date 0 16 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DECEMBER 30 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DECEMBER 30,90	TP+DUPE	2	[Date]	[MDY-11, MY-03]	DECEMBER 30,90 (Date 0 14 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DECEMBER 30 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DECEMBER 30,1990 	TP+DUPE	2	[Date]	[MDY-12, MY-03]	DECEMBER 30,1990 (Date 0 16 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DECEMBER 30 (Date 0 11 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30 90	TP+DUPE	2	[Date]	[MDY-05, MY-01]	DEC 30 90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30 1990 	TP+DUPE	2	[Date]	[MDY-06, MY-01]	DEC 30 1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30,90	TP+DUPE	2	[Date]	[MDY-07, MY-01]	DEC 30,90 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	DEC 30,1990 	TP+DUPE	2	[Date]	[MDY-08, MY-01]	DEC 30,1990 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),DEC 30 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sun Dec 01 00:00:00 EST 2030, isEntity=true}),
Date	POS	01/02/45  ambigous x2	TP+DUPE	2	[Date]	[DMY-01, MDY-01]	01/02/45 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Tue Jan 02 00:00:00 EDT 1945, isEntity=true}),01/02/45 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Thu Feb 01 00:00:00 EDT 1945, isEntity=true}),
Date	POS	01/02/03  ambigous x3 	TP+DUPE	3	[Date]	[DMY-01, MDY-01, YMD-01]	01/02/03 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Thu Jan 02 00:00:00 EST 2003, isEntity=true}),01/02/03 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Sat Feb 01 00:00:00 EST 2003, isEntity=true}),01/02/03 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Fri Mar 02 00:00:00 EST 2001, isEntity=true}),
Date	POS	25/12/01	TP+DUPE	2	[Date]	[DMY-01, YMD-01]	25/12/01 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Tue Dec 25 00:00:00 EST 2001, isEntity=true}),25/12/01 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Sun Jan 12 00:00:00 EST 2025, isEntity=true}),
Date	POS	12/25/1945	TP	1	[Date]	[MDY-02]	12/25/1945 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Tue Dec 25 00:00:00 EST 1945, isEntity=true}),
Date	POS	12 DEC 1945	TP+DUPE	2	[Date]	[DMY-05, MY-02]	12 DEC 1945 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DEC 1945 (Date 3 11 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	12 DECEMBER 1945	TP+DUPE	2	[Date]	[DMY-06, MY-04]	12 DECEMBER 1945 (Date 0 16 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DECEMBER 1945 (Date 3 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	DEC 12 45	TP+DUPE	2	[Date]	[MDY-05, MY-01]	DEC 12 45 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DEC 12 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2012, isEntity=true}),
Date	POS	DEC 12,45	TP+DUPE	2	[Date]	[MDY-07, MY-01]	DEC 12,45 (Date 0 9 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DEC 12 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2012, isEntity=true}),
Date	POS	DEC 12 1945	TP+DUPE	2	[Date]	[MDY-06, MY-01]	DEC 12 1945 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DEC 12 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2012, isEntity=true}),
Date	POS	DEC 12,1945	TP+DUPE	2	[Date]	[MDY-08, MY-01]	DEC 12,1945 (Date 0 11 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DEC 12 (Date 0 6 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 2012, isEntity=true}),
Date	POS	1567 AD	TP	1	[Date]	[YEAR-02]	1567 AD (Date 0 7 {precision=YEAR, hierarchy=Time.date, date=Sat Dec 21 23:56:02 EST 1566, isEntity=true}),
Date	POS	1234 BC	TP	1	[Date]	[YEAR-02]	1234 BC (Date 0 7 {precision=YEAR, hierarchy=Time.date, date=Sat Jan 11 23:56:02 EST 1234, isEntity=true}),
Date	POS	1234 BCE	TP	1	[Date]	[YEAR-02]	1234 BCE (Date 0 8 {precision=YEAR, hierarchy=Time.date, date=Sat Jan 11 23:56:02 EST 1234, isEntity=true}),
Date	POS	1986 AD	TP	1	[Date]	[YEAR-02]	1986 AD (Date 0 7 {precision=YEAR, hierarchy=Time.date, date=Wed Jan 01 00:00:00 EST 1986, isEntity=true}),
Date	POS	DECEMBER of 1956	TP	1	[Date]	[MY-08]	DECEMBER of 1956 (Date 0 16 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1956, isEntity=true}),
Date	POS	12-25-1945	TP	1	[Date]	[MDY-02]	12-25-1945 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Tue Dec 25 00:00:00 EST 1945, isEntity=true}),
Date	POS	250434ZDEC45	TP	1	[Date]	[DTG-02]	250434ZDEC45 (Date 0 12 {precision=MINUTE, hierarchy=Time.date, date=Tue Dec 25 00:34:00 EST 1945, isEntity=true}),
Date	POS	19451225T1234Z	TP	1	[Date]	[DTG-04]	19451225T1234Z (Date 0 14 {precision=MINUTE, hierarchy=Time.date, date=Tue Dec 25 00:34:00 EST 1945, isEntity=true}),
Date	POS	1945-12-25T12:34:45	TP	1	[Date]	[DTG-05]	1945-12-25T12:34:45 (Date 0 19 {precision=SECOND, hierarchy=Time.date, date=Tue Dec 25 00:34:45 EST 1945, isEntity=true}),
Date	POS	1945-12-25 12:34:45	TP	1	[Date]	[DTG-07]	1945-12-25 12:34:45 (Date 0 19 {precision=SECOND, hierarchy=Time.date, date=Tue Dec 25 00:34:45 EST 1945, isEntity=true}),
Date	POS	19451225	TP	1	[Date]	[YMD-03]	19451225 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Tue Dec 25 00:00:00 EST 1945, isEntity=true}),
Date	POS	Tuesday 12 December 1945	TP+DUPE	2	[Date]	[DMY-06, MY-04]	12 December 1945 (Date 8 24 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),December 1945 (Date 11 24 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	Tuesday 12 DECEMBER 1945	TP+DUPE	2	[Date]	[DMY-06, MY-04]	12 DECEMBER 1945 (Date 8 24 {precision=DAY, hierarchy=Time.date, date=Wed Dec 12 00:00:00 EST 1945, isEntity=true}),DECEMBER 1945 (Date 11 24 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	December 1945	TP	1	[Date]	[MY-04]	December 1945 (Date 0 13 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	DECEMBER 1945	TP	1	[Date]	[MY-04]	DECEMBER 1945 (Date 0 13 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	Dec 1945	TP	1	[Date]	[MY-02]	Dec 1945 (Date 0 8 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	DEC 1945	TP	1	[Date]	[MY-02]	DEC 1945 (Date 0 8 {precision=MONTH, hierarchy=Time.date, date=Sat Dec 01 00:00:00 EST 1945, isEntity=true}),
Date	POS	12/30/90	TP	1	[Date]	[MDY-01]	12/30/90 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),
Date	POS	DATE:12/30/90	TP	1	[Date]	[MDY-01]	12/30/90 (Date 5 13 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),
Date	NEG	13/30/90	TN	0	[]	[]	
Date	NEG	12/32/90	TN	0	[]	[]	
Date	POS	12/30/01	TP+DUPE	2	[Date]	[MDY-01, YMD-01]	12/30/01 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 2001, isEntity=true}),12/30/01 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Mon Jan 30 00:00:00 EST 2012, isEntity=true}),
Date	POS	12/30/00	TP	1	[Date]	[MDY-01]	12/30/00 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Sat Dec 30 00:00:00 EST 2000, isEntity=true}),
Date	POS	12/30/55	TP	1	[Date]	[MDY-01]	12/30/55 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Fri Dec 30 00:00:00 EST 1955, isEntity=true}),
Date	POS	12/30/15	TP	1	[Date]	[MDY-01]	12/30/15 (Date 0 8 {precision=DAY, hierarchy=Time.date, date=Wed Dec 30 00:00:00 EST 2015, isEntity=true}),
Date	POS	12/30/1990	TP	1	[Date]	[MDY-02]	12/30/1990 (Date 0 10 {precision=DAY, hierarchy=Time.date, date=Sun Dec 30 00:00:00 EST 1990, isEntity=true}),
Date	NEG	13/30/1990	TN	0	[]	[]	
Date	NEG	12/32/1990	TN	0	[]	[]	
